carat,cut,color,clarity,depth,table,price,x,y,z
2.1,Fair,G,SI2,65.0,56.0,11923,8.09,7.98,5.21
2.5,Fair,G,I1,64.7,57.0,7854,8.48,8.44,5.47
1.52,Fair,F,SI2,56.3,64.0,8938,7.68,7.62,4.31
3.11,Fair,J,I1,65.9,57.0,9823,9.15,9.02,5.98
2.0,Fair,J,VS2,65.4,58.0,11966,7.96,7.75,5.14
1.51,Fair,E,VS2,65.0,58.0,12829,7.06,7.12,4.61
2.0,Fair,H,SI2,67.9,55.0,10913,7.67,7.58,5.18
2.02,Fair,J,SI2,64.6,55.0,9853,7.93,7.84,5.09
2.0,Fair,F,SI2,59.8,68.0,12610,8.13,7.95,4.81
2.4,Fair,J,SI2,65.4,56.0,15824,8.35,8.29,5.44
2.1,Fair,F,SI2,64.7,61.0,15827,7.97,7.92,5.14
2.53,Fair,H,SI2,64.6,59.0,17103,8.54,8.45,5.4
1.54,Fair,F,SI2,64.4,60.0,7848,7.26,7.16,4.64
1.5,Fair,G,VS2,66.2,53.0,10644,7.12,7.08,4.7
1.4,Fair,F,VS2,66.5,56.0,8216,6.83,6.76,4.52
2.1,Fair,G,SI2,61.4,66.0,11946,8.26,8.19,5.05
2.01,Fair,G,SI2,56.2,63.0,12450,8.28,8.23,4.64
2.01,Fair,H,SI2,64.9,56.0,10184,7.88,7.81,5.09
2.5,Fair,G,I1,65.1,59.0,8711,8.55,8.39,5.53
2.01,Fair,G,SI2,65.9,57.0,10887,7.85,7.78,5.15
2.04,Fair,E,SI2,67.4,56.0,12454,7.8,7.76,5.24
2.0,Fair,G,SI1,65.5,58.0,11935,7.82,7.73,5.09
2.01,Fair,G,SI2,65.9,57.0,10887,7.85,7.78,5.15
1.5,Fair,D,VS2,65.4,53.0,12606,7.12,7.1,4.65
2.13,Fair,H,SI2,64.5,58.0,13370,8.09,8.01,5.19
2.0,Fair,H,SI1,65.1,56.0,14430,7.86,7.77,5.09
1.52,Fair,I,SI1,64.6,58.0,7746,7.24,7.21,4.68
2.01,Fair,H,SI2,64.9,56.0,10184,7.88,7.81,5.09
1.51,Fair,G,VS1,64.9,55.0,11739,7.25,7.14,4.67
1.5,Fair,E,SI2,59.9,68.0,8190,7.39,7.3,4.4
2.04,Fair,I,SI2,66.6,56.0,9802,7.8,7.77,5.19
1.93,Fair,F,VS1,58.9,62.0,17995,8.17,7.97,4.75
1.6,Fair,D,SI2,64.7,58.0,8666,7.35,7.28,4.73
2.5,Fair,J,SI2,66.9,58.0,14652,8.36,8.22,5.55
2.03,Fair,H,SI1,65.4,58.0,14646,7.91,7.88,5.16
4.5,Fair,J,I1,65.8,58.0,18531,10.23,10.16,6.72
2.02,Fair,H,SI1,56.2,61.0,15695,8.8,8.33,4.81
1.5,Fair,H,VS1,61.7,60.0,11007,7.37,7.27,4.52
1.57,Fair,H,VS1,67.3,66.0,8133,7.85,5.75,3.87
1.81,Fair,J,SI1,56.2,62.0,8362,8.14,8.09,4.56
1.53,Fair,I,VS2,57.7,69.0,8996,7.6,7.51,4.36
1.52,Fair,H,VS2,62.1,66.0,8674,7.33,7.13,4.5
1.52,Fair,G,VS2,55.2,66.0,10623,7.72,7.67,4.26
1.51,Fair,G,SI1,65.0,59.0,8681,6.99,7.07,4.57
2.03,Fair,F,SI1,65.4,58.0,16280,7.9,7.84,5.15
2.01,Fair,I,VS2,66.3,57.0,15729,7.79,7.74,5.15
1.72,Fair,F,SI1,64.8,58.0,13622,7.5,7.46,4.85
1.52,Fair,D,SI2,56.3,61.0,7702,7.7,7.62,4.31
2.5,Fair,H,SI2,64.9,58.0,13278,8.46,8.43,5.48
1.55,Fair,F,SI1,59.7,66.0,10217,7.59,7.47,4.49
2.5,Fair,H,SI2,64.9,58.0,13278,8.46,8.43,5.48
2.01,Fair,H,SI2,65.9,57.0,12617,7.8,7.74,5.12
1.5,Fair,H,VS2,65.2,58.0,10206,7.12,7.06,4.62
1.54,Fair,F,SI1,65.8,56.0,10954,7.22,7.18,4.74
2.0,Fair,H,SI1,65.6,58.0,15762,7.92,7.76,5.15
1.12,Fair,D,VS2,58.9,59.0,7696,6.84,6.77,4.01
1.64,Fair,E,SI2,63.1,60.0,8954,7.58,7.5,4.75
2.52,Fair,J,SI2,65.1,56.0,15776,8.51,8.43,5.51
1.71,Fair,F,SI2,64.9,57.0,8714,7.51,7.41,4.84
2.11,Fair,G,SI2,65.0,56.0,12633,8.06,8.01,5.22
1.01,Fair,D,VVS2,65.4,57.0,8716,6.2,6.16,4.04
2.02,Fair,I,SI2,64.5,60.0,12592,7.94,7.82,5.08
1.5,Fair,F,SI2,65.4,58.0,7644,7.17,7.1,4.67
2.01,Fair,H,SI2,66.7,56.0,10772,7.8,7.76,5.19
2.74,Fair,J,I1,64.9,61.0,8807,8.76,8.66,5.65
2.01,Fair,H,SI2,65.3,56.0,10772,7.95,7.86,5.16
1.71,Fair,I,SI2,65.1,60.0,8800,7.5,7.46,4.87
1.51,Fair,G,SI2,65.5,55.0,8794,7.14,7.08,4.66
