carat,cut,color,clarity,depth,table,price,x,y,z
1.0,Fair,I,SI1,64.8,59.0,3584,6.23,6.14,4.01
1.0,Fair,F,VS2,64.9,56.0,5840,6.26,6.31,4.08
1.0,Fair,F,VS1,65.3,56.0,5833,6.28,6.25,4.09
0.81,Fair,G,VVS2,64.8,56.2,3323,5.82,5.98,3.82
0.71,Fair,F,SI1,59.8,70.0,2458,5.89,5.72,3.48
0.7,Fair,D,SI1,66.0,56.0,2093,5.45,5.52,3.62
0.51,Fair,E,VS2,65.5,51.0,1709,5.06,5.01,3.3
0.5,Fair,F,VS1,56.4,62.0,1446,5.31,5.22,2.97
0.9,Fair,F,VS1,66.2,55.0,4183,6.11,5.97,4.0
0.85,Fair,H,I1,66.9,54.0,1250,5.98,5.75,3.94
0.9,Fair,I,SI2,66.4,60.0,2948,5.92,5.86,3.91
0.7,Fair,H,VS1,62.0,73.0,2100,5.65,5.54,3.47
1.0,Fair,E,SI2,65.8,58.0,2948,6.28,6.16,4.09
0.99,Fair,J,SI1,58.0,67.0,2949,6.57,6.5,3.79
0.75,Fair,F,SI2,65.1,57.0,2102,5.7,5.66,3.7
0.71,Fair,F,SI2,65.2,55.5,2103,5.52,5.58,3.62
0.5,Fair,D,SI1,64.6,59.0,1253,4.93,4.95,3.19
0.71,Fair,I,VS1,64.5,56.0,2104,5.61,5.56,3.6
0.98,Fair,F,SI2,61.6,66.0,2958,6.46,6.24,3.92
0.9,Fair,J,SI1,64.6,61.0,2438,5.92,5.87,3.81
0.96,Fair,G,SI2,72.2,56.0,2438,6.01,5.81,4.28
1.0,Fair,D,SI2,64.8,60.0,3304,6.23,6.18,4.02
1.0,Fair,G,SI1,65.8,55.0,3304,6.22,6.19,4.08
0.7,Fair,H,SI1,66.0,56.0,1840,5.5,5.53,3.64
0.75,Fair,E,VS2,56.0,67.0,2940,6.18,6.08,3.43
0.5,Fair,G,VS1,67.6,56.0,1257,5.02,4.89,3.35
0.71,Fair,I,VS2,61.6,67.0,1840,5.76,5.61,3.5
1.0,Fair,E,VS2,67.0,54.0,5729,6.23,6.18,4.16
1.0,Fair,J,I1,65.0,59.0,1784,6.27,6.17,4.05
0.59,Fair,F,VS2,64.4,56.0,2443,5.31,5.28,3.41
1.0,Fair,G,VS1,63.1,63.0,4630,6.38,6.29,4.0
0.52,Fair,F,VS1,57.2,59.0,1784,5.35,5.39,3.07
0.5,Fair,G,VS1,65.7,63.0,1257,4.97,4.87,3.23
0.92,Fair,F,SI1,66.0,57.0,3323,6.04,5.99,3.97
0.7,Fair,E,SI2,64.6,53.0,2092,5.58,5.63,3.62
1.0,Fair,G,VS1,58.7,67.0,5853,6.47,6.45,3.79
0.9,Fair,E,SI2,64.5,57.0,3342,6.13,6.09,3.94
0.6,Fair,F,VVS2,60.1,66.0,2484,5.48,5.44,3.28
0.98,Fair,G,I1,69.7,58.0,1712,6.08,5.98,4.21
0.5,Fair,G,VVS2,64.9,58.0,1712,5.0,4.95,3.23
0.51,Fair,E,SI1,64.8,58.0,1237,5.07,5.02,3.27
1.0,Fair,F,SI1,64.8,58.0,4586,6.26,6.21,4.04
1.0,Fair,E,SI2,56.9,63.0,3889,6.54,6.49,3.71
0.97,Fair,F,SI1,56.4,66.0,4063,6.59,6.54,3.7
0.7,Fair,F,SI2,65.3,55.0,2075,5.6,5.49,3.62
0.5,Fair,G,VS1,66.5,58.0,1234,4.99,4.9,3.29
0.5,Fair,G,VS1,66.8,56.0,1367,4.85,4.91,3.26
0.9,Fair,I,VS2,64.1,66.0,2921,6.04,5.98,3.85
0.8,Fair,E,I1,65.5,54.0,1232,5.84,5.68,3.78
0.91,Fair,D,I1,66.2,57.0,2491,6.0,5.94,3.95
0.63,Fair,H,SI2,64.7,61.0,1235,5.33,5.27,3.43
0.7,Fair,E,VS2,65.7,55.0,2437,5.45,5.51,3.6
0.52,Fair,E,VVS2,57.2,64.0,2079,5.27,5.36,3.04
0.5,Fair,G,VS2,65.1,56.0,1238,5.02,4.99,3.26
0.9,Fair,F,SI1,65.3,61.0,3326,6.0,5.95,3.9
0.62,Fair,F,VVS2,57.1,60.0,2088,5.65,5.7,3.24
0.71,Fair,F,SI1,62.6,57.0,2088,5.73,5.68,3.57
0.9,Fair,E,SI1,65.0,61.0,3332,6.05,6.02,3.92
